cycle,pc,target,jump_double_b_predictor,jump_streak,is_taken
79013,2147494668,2147494628,2,1,1
79023,2147494656,2147494660,1,0,0
79024,2147494660,2147494664,0,-1,0
79026,2147494668,2147494628,1,0,1
79027,2147494668,2147494628,2,1,1
79037,2147494656,2147494660,1,0,0
79038,2147494660,2147494664,0,-1,0
79040,2147494668,2147494628,1,0,1
79041,2147494668,2147494628,2,1,1
79051,2147494656,2147494660,1,0,0
79052,2147494660,2147494664,0,-1,0
79054,2147494668,2147494628,1,0,1
79055,2147494668,2147494628,2,1,1
79065,2147494656,2147494660,1,0,0
79066,2147494660,2147494664,0,-1,0
79068,2147494668,2147494628,1,0,1
79069,2147494668,2147494628,2,1,1
79079,2147494656,2147494660,1,0,0
79080,2147494660,2147494664,0,-1,0
79082,2147494668,2147494628,1,0,1
79083,2147494668,2147494628,2,1,1
79093,2147494656,2147494660,1,0,0
79094,2147494660,2147494664,0,-1,0
79096,2147494668,2147494628,1,0,1
79097,2147494668,2147494628,2,1,1
79107,2147494656,2147494660,1,0,0
79108,2147494660,2147494664,0,-1,0
79110,2147494668,2147494628,1,0,1
79111,2147494668,2147494628,2,1,1
79121,2147494656,2147494660,1,0,0
79122,2147494660,2147494664,0,-1,0
79124,2147494668,2147494628,1,0,1
79125,2147494668,2147494628,2,1,1
79135,2147494656,2147494660,1,0,0
79136,2147494660,2147494664,0,-1,0
79138,2147494668,2147494628,1,0,1
79139,2147494668,2147494628,2,1,1
79149,2147494656,2147494660,1,0,0
79150,2147494660,2147494664,0,-1,0
79152,2147494668,2147494628,1,0,1
79153,2147494668,2147494628,2,1,1
79163,2147494656,2147494660,1,0,0
79164,2147494660,2147494664,0,-1,0
79166,2147494668,2147494628,1,0,1
79167,2147494668,2147494628,2,1,1
79177,2147494656,2147494660,1,0,0
79178,2147494660,2147494664,0,-1,0
79180,2147494668,2147494628,1,0,1
79181,2147494668,2147494628,2,1,1
79191,2147494656,2147494660,1,0,0
79192,2147494660,2147494664,0,-1,0
79194,2147494668,2147494628,1,0,1
79195,2147494668,2147494628,2,1,1
79205,2147494656,2147494660,1,0,0
79206,2147494660,2147494664,0,-1,0
79208,2147494668,2147494628,1,0,1
